方言,類別,級別,中文,阿美語,備註
海岸,01數字計量,初級,一,cecay,
海岸,01數字計量,初級,二,tosa,
海岸,01數字計量,初級,三,tolo,
海岸,01數字計量,初級,四,sepat,
海岸,01數字計量,初級,五,lima,
海岸,01數字計量,初級,六,enem,
海岸,01數字計量,初級,七,pito,
海岸,01數字計量,初級,八,falo,
海岸,01數字計量,初級,九,siwa,
海岸,01數字計量,初級,十,polo’/mo^tep,同moetep，數數用polo’，數量用moetep。
海岸,01數字計量,初級,十一,safaw cecay,另作cecay ko safaw。
海岸,01數字計量,初級,十二,safaw tosa,另作tosa ko safaw。
海岸,01數字計量,初級,十三,safaw tolo,另作tolo ko safaw。
海岸,01數字計量,初級,十四,safaw sepat,另作sepat ko safaw。
海岸,01數字計量,初級,十五,safaw lima,另作lima ko safaw。
海岸,01數字計量,初級,十六,safaw enem,另作enem ko safaw。
海岸,01數字計量,初級,十七,safaw pito,另作pito ko safaw。
海岸,01數字計量,初級,十八,safaw falo,另作falo ko safaw。
海岸,01數字計量,初級,十九,safaw siwa,另作siwa ko safaw。
海岸,01數字計量,初級,二十,tosa poloʼ,
海岸,01數字計量,初級,二十一,tosa poloʼ ira ko cecay,
海岸,01數字計量,初級,二十二,tosa poloʼ ira ko tosa,
海岸,01數字計量,初級,二十三,tosa poloʼ ira ko tolo,
海岸,01數字計量,初級,二十四,tosa poloʼ ira ko sepat,
海岸,01數字計量,初級,二十五,tosa poloʼ ira ko lima,
海岸,01數字計量,初級,三十,tolo poloʼ,
海岸,01數字計量,高級,三十一,tolo poloʼ ira ko cecay,
海岸,01數字計量,初級,四十,sepat poloʼ,
海岸,01數字計量,初級,五十,lima poloʼ,
海岸,01數字計量,初級,六十,enem poloʼ,
海岸,01數字計量,初級,七十,pito poloʼ,
海岸,01數字計量,初級,八十,falo poloʼ,
海岸,01數字計量,初級,九十,siwa poloʼ,
海岸,01數字計量,中高級,百,somo’ot,
海岸,01數字計量,高級,一百,cecay soʼot,
海岸,01數字計量,中級,兩百,tosa soʼot,
海岸,01數字計量,中高級,一千,cecay patek,
海岸,01數字計量,高級,一些,pinapina,
海岸,01數字計量,中高級,一次,kinacecay,
海岸,01數字計量,中高級,一串(香蕉),cecay faliling,faliling原指香蕉串。
海岸,01數字計量,中高級,種類,kahirahira,
